timestamp,air_temperature
1689249600,23.56
1689253200,29.635
1689256800,32.54
1689260400,30.58
1689264000,31.085
1689267600,32.5
1689271200,28.335
1689274800,24.58
1689278400,23.675
1689282000,22.945
1689285600,22.695
1689289200,22.605
1689292800,22.105
1689296400,21.7
1689300000,21.65
1689303600,21.12
1689307200,20.985
1689310800,22.03
1689314400,23.675
1689318000,26.24
1689321600,29.77
1689325200,30.225
1689328800,30.76
1689332400,31.585
1689336000,31.245
1689339600,32.09
1689343200,32.68
1689346800,31.97
1689350400,31.32
1689354000,31.305
1689357600,28.535
1689361200,24.435
1689364800,21.805
1689368400,21.925
1689372000,21.98
1689375600,21.05
1689379200,21.145
1689382800,20.65
1689386400,21.255
1689390000,20.295
1689393600,19.89
1689397200,23.36
1689400800,26.045
1689404400,30.315
1689408000,31.395
1689411600,31.955
1689415200,32.57
1689418800,33.635
1689422400,35.07
1689426000,35.455
1689429600,35.545
1689433200,34.32
1689436800,33.695
1689440400,32.705
1689444000,29.975
1689447600,26.545
1689451200,23.99
1689454800,24.15
1689458400,23.065
1689462000,22.285
1689465600,20.905
1689469200,20.975
1689472800,20.795
1689476400,21.32
1689480000,22.235
1689483600,26.41
1689487200,28.965
1689490800,32.64
1689494400,34.42
1689498000,35.1
1689501600,36.46
1689505200,36.51
1689508800,36.95
1689512400,37.995
1689516000,38.045
1689519600,36.32
1689523200,36.505
1689526800,36.205
1689530400,31.585
1689534000,25.89
1689537600,24.295
1689541200,23.67
1689544800,22.265
1689548400,21.805
1689552000,21.025
1689555600,20.205
1689559200,19.665
1689562800,19.24
1689566400,19.145
1689570000,24.37
1689573600,28.25
1689577200,31.64
1689580800,33.205
1689584400,34.055
1689588000,35.025
1689591600,36.68
1689595200,38.025
1689598800,39.4
1689602400,39.145
1689606000,38.01
1689609600,37.86
1689613200,36.38
1689616800,29.525
1689620400,25.5
1689624000,26.455
1689627600,29.775
1689631200,28.235
1689634800,26.99
1689638400,26.185
1689642000,26.02
1689645600,24.73
1689649200,22.995
1689652800,22.075
1689656400,25.79
1689660000,27.975
1689663600,31.285
1689667200,34.115
1689670800,34.735
1689674400,36.25
1689678000,36.965
1689681600,37.72
1689685200,37.875
1689688800,39.42
1689692400,38.805
1689696000,37.915
1689699600,36.64
1689703200,32.3
1689706800,28.57
1689710400,24.75
1689714000,25.015
1689717600,23.79
1689721200,23.26
1689724800,22.255
1689728400,23.35
1689732000,26.215
1689735600,21.84
1689739200,20.38
1689742800,23.775
1689746400,28.25
1689750000,31.91
1689753600,32.715
1689757200,34.8
1689760800,35.81
1689764400,37.58
1689768000,38.655
1689771600,39.835
1689775200,38.71
1689778800,37.675
1689782400,36.005
1689786000,34.11
1689789600,31.765
1689793200,27.57
1689796800,25.495
1689800400,24.63
1689804000,25.645
1689807600,25.915
1689811200,23.62
1689814800,22.525
1689818400,22.3
1689822000,21.83
1689825600,22.065
1689829200,24.495
1689832800,27.79
1689836400,28.745
1689840000,29.505
1689843600,31.01
1689847200,32.72
1689850800,34.03
1689854400,35.22
1689858000,35.825
1689861600,37.225
1689865200,34.125
1689868800,33.775
1689872400,32.37
1689876000,30.02
1689879600,25.925
1689883200,24.01
1689886800,27.025
1689890400,27.64
1689894000,26.885
1689897600,26.09
1689901200,25.82
1689904800,26.245
1689908400,26.995
1689912000,24.865
1689915600,25.985
1689919200,29.51
1689922800,32.855
1689926400,34.0
1689930000,33.475
1689933600,32.45
1689937200,33.145
1689940800,33.14
1689944400,34.65
1689948000,34.96
1689951600,32.675
1689955200,30.43
1689958800,29.08
1689962400,27.05
1689966000,25.065
1689969600,24.235
1689973200,22.42
1689976800,22.335
1689980400,21.21
1689984000,21.665
1689987600,20.92
1689991200,19.46
1689994800,18.925
1689998400,19.56
1690002000,22.57
1690005600,26.725
1690009200,29.43
1690012800,30.93
1690016400,32.355
1690020000,32.815
1690023600,33.765
1690027200,34.95
1690030800,35.42
1690034400,32.37
1690038000,31.64
1690041600,31.015
1690045200,30.215
1690048800,25.96
1690052400,22.02
1690056000,20.89
1690059600,22.255
1690063200,22.025
